academic_progress_id,student_id,number_of_courses,attendance_percentage,assignment,total_required_attendance,classes_attended
AP183,S183,1,100.0,B2,9,9
AP184,S184,1,84.61538461538461,A1,13,11
AP185,S185,3,84.84848484848484,A2,33,28
AP186,S186,1,77.77777777777779,C2,9,7
AP187,S187,2,80.0,C2,30,24
AP188,S188,1,81.81818181818183,A2,11,9
AP189,S189,1,81.81818181818183,Fail,11,9
AP190,S190,3,59.523809523809526,Fail,42,25
AP191,S191,1,90.9090909090909,A2,11,10
AP192,S192,1,90.0,A2,10,9
AP193,S193,1,76.92307692307693,C2,13,10
AP194,S194,1,66.66666666666666,A1,9,6
AP195,S195,2,43.333333333333336,C1,30,13
AP196,S196,1,66.66666666666666,B1,12,8
AP197,S197,1,76.92307692307693,A2,13,10
AP198,S198,1,85.71428571428571,A2,14,12
AP199,S199,1,90.0,A1,10,9
AP200,S200,1,76.92307692307693,C1,13,10
